ts_code,name,industry,area,signal_date,entry_date,entry_open,exit_date,exit_close,holding_days,gross_return,net_return,is_truncated,list_date
000062.SZ,深圳华强,元器件,深圳,20250428,20250429,24.48,20250522,26.33,15,0.07557189542483655,0.0753568025550384,False,19970130
002287.SZ,奇正藏药,中成药,西藏,20250428,20250429,24.21,20250522,24.35,15,0.0057827344072698406,0.005581597974031682,False,20090828
600391.SH,航发科技,航空,四川,20250428,20250429,23.6,20250522,23.7,15,0.004237288135593209,0.00403646076070352,False,20011212
600988.SH,赤峰黄金,黄金,内蒙,20250428,20250429,26.9,20250522,27.49,15,0.021933085501858685,0.02172871932137621,False,20040414
000617.SZ,中油资本,多元金融,新疆,20250429,20250430,7.03,20250523,6.75,15,-0.03982930298719778,-0.04002131792510655,False,19961022
001317.SZ,三羊马,铁路,重庆,20250429,20250430,37.07,20250523,44.81,15,0.20879417318586468,0.20855243852469374,False,20211130
001395.SZ,亚联机械,专用机械,吉林,20250429,20250430,47.55,20250523,46.33,15,-0.02565720294426921,-0.025852052018772942,False,20250127
002653.SZ,海思科,化学制药,西藏,20250429,20250430,42.69,20250523,44.04,15,0.03162333099086445,0.03141702695506976,False,20120117
603188.SH,亚邦股份,染料涂料,江苏,20250429,20250430,3.96,20250523,4.08,15,0.030303030303030276,0.030096990300970017,False,20140909
002838.SZ,道恩股份,塑料,山东,20250430,20250506,15.75,20250526,18.53,15,0.1765079365079365,0.1762726584484411,False,20170106
600961.SH,株冶集团,铅锌,湖南,20250430,20250506,10.15,20250526,10.33,15,0.01773399014778332,0.01753046370239808,False,20040830
600279.SH,重庆港,港口,重庆,20250506,20250507,5.38,20250527,6.38,15,0.18587360594795532,0.1856364549418663,False,20000731
600790.SH,轻纺城,商品城,浙江,20250506,20250507,3.59,20250527,3.95,15,0.10027855153203347,0.10005851782509767,False,19970228
603648.SH,畅联股份,仓储物流,上海,20250506,20250507,10.23,20250527,10.15,15,-0.00782013685239491,-0.008018552983411364,False,20170913
002492.SZ,恒基达鑫,仓储物流,广东,20250507,20250508,5.4,20250528,5.68,15,0.051851851851851816,0.05164150251641475,False,20101102
600308.SH,华泰股份,造纸,山东,20250507,20250508,3.51,20250528,3.53,15,0.005698005698005604,0.005496886208815166,False,20000928
000862.SZ,银星能源,新型电力,宁夏,20250508,20250509,5.75,20250529,5.61,15,-0.024347826086956514,-0.024542937010646693,False,19980915
000966.SZ,长源电力,火力发电,湖北,20250508,20250509,5.06,20250529,4.97,15,-0.017786561264822143,-0.01798298431026457,False,20000316
002098.SZ,浔兴股份,服饰,福建,20250508,20250509,9.23,20250529,9.28,15,0.005417118093174356,0.005216054775887491,False,20061222
002584.SZ,西陇科学,化工原料,广东,20250508,20250509,9.3,20250529,10.21,15,0.09784946236559144,0.09762991442791202,False,20110602
601155.SH,新城控股,区域地产,江苏,20250508,20250509,13.13,20250529,12.41,15,-0.05483625285605487,-0.05502526670409891,False,20151204
603103.SH,横店影视,影视音像,浙江,20250508,20250509,15.85,20250529,15.4,15,-0.028391167192428957,-0.028585469528756957,False,20171012
603676.SH,卫信康,化学制药,西藏,20250508,20250509,10.36,20250529,11.04,15,0.0656370656370655,0.06542395953454849,False,20170721
002793.SZ,罗欣药业,化学制药,山东,20250509,20250512,4.37,20250530,4.61,15,0.05491990846681927,0.05470894558141448,False,20160415
600051.SH,宁波联合,综合类,浙江,20250509,20250512,7.02,20250530,7.16,15,0.019943019943019946,0.01973905173585222,False,19970410
600490.SH,鹏欣资源,铜,上海,20250509,20250512,4.53,20250530,4.25,15,-0.06181015452538641,-0.061997773732560546,False,20030626
600510.SH,黑牡丹,全国地产,江苏,20250509,20250512,5.28,20250530,4.92,15,-0.06818181818181823,-0.06836816318368177,False,20020618
